14162,"",0,Lenovo ThinkPad Helix 180GB with Mobile Broadband,"","",1,"Condition:Broken,Good,Flawless",0|110|116
14163,"",0,Lenovo ThinkPad Tablet 2 64GB,"","",1,"Condition:Broken,Good,Flawless",0|38|38
14164,"",0,Lenovo ThinkPad Tablet 2 64GB with Mobile Broadband,"","",1,"Condition:Broken,Good,Flawless",0|86|90
14170,"",0,Sony Xperia Tablet Z Wi-Fi Only,"","",1,"Condition:Broken,Good,Flawless",0|38|58
14168,"",0,Sony Xperia Tablet Z 16GB,"","",1,"Condition:Broken,Good,Flawless",0|32|62
14171,"",0,Sony Xperia Tablet S 16GB,"","",1,"Condition:Broken,Good,Flawless",0|38|42
14169,"",0,Sony Xperia Tablet Z 32GB,"","",1,"Condition:Broken,Good,Flawless",0|38|78
14172,"",0,Sony Xperia Tablet S 32GB,"","",1,"Condition:Broken,Good,Flawless",0|38|46
14173,"",0,Sony Xperia Tablet S 64GB,"","",1,"Condition:Broken,Good,Flawless",0|38|38
14174,"",0,Nintendo 2DS,"","",1,"Condition:Broken,Good,Flawless",10|28|28
14195,"",0,LG Nexus 5 (Sprint),"","",1,"Condition:Broken,Good,Flawless",42|84|98
14194,"",0,LG Nexus 5 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",42|102|130
14200,"",0,"Kindle Fire HDX 7"" 32GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|32|32
14201,"",0,"Kindle Fire HDX 7"" 64GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|34|34
14199,"",0,"Kindle Fire HDX 7"" 16GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|24|24
14202,"",0,"Kindle Fire HDX 8.9"" 16GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|50|50
14203,"",0,"Kindle Fire HDX 8.9"" 32GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|62|62
14204,"",0,"Kindle Fire HDX 8.9"" 64GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|74|74
15136,"",0,LG Optimus F3 (Virgin Mobile),"","",1,"Condition:Broken,Good,Flawless",0|4|4
15137,"",0,LG Optimus F3 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",0|14|14
15140,"",0,LG G Flex (Sprint),"","",1,"Condition:Broken,Good,Flawless",38|84|94
15138,"",0,LG Optimus F3 (Sprint),"","",1,"Condition:Broken,Good,Flawless",0|6|8
15141,"",0,LG G Flex (AT&T),"","",1,"Condition:Broken,Good,Flawless",50|116|152
15139,"",0,LG Optimus F3 (Metro PCS),"","",1,"Condition:Broken,Good,Flawless",0|6|6
15142,"",0,LG G Flex (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",50|120|144
15145,"",0,Sony Xperia Z (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",22|64|64
15143,"",0,LG G2 (Verizon),"","",1,"Condition:Broken,Good,Flawless",26|100|108
15146,"",0,Sony Xperia Z1S (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",20|64|64
15172,"",0,LG G2 (Sprint),"","",1,"Condition:Broken,Good,Flawless",32|64|70
320,"",0,Casio gzOne Rock c731,"","",1,"Condition:Broken,Good,Flawless",0|4|4
323,"",0,Dell Streak 5,"","",1,"Condition:Broken,Good,Flawless",0|2|2
321,"",0,Casio gzOne Brigade C741,"","",1,"Condition:Broken,Good,Flawless",0|4|14
1165,"",0,LG  Pop GD510,"","",1,"Condition:Broken,Good,Flawless",0|2|2
4710,"",0,LG dLite GD570,"","",1,"Condition:Broken,Good,Flawless",0|8|8
4886,"",0,Microsoft Zune 30GB,"","",1,"Condition:Broken,Good,Flawless",2|14|14
4897,"",0,Microsoft Zune 80GB 2nd Generation,"","",1,"Condition:Broken,Good,Flawless",2|14|14
4909,"",0,Microsoft Zune 2nd GEN 120GB,"","",1,"Condition:Broken,Good,Flawless",4|10|10
4914,"",0,Microsoft Zune HD 16GB,"","",1,"Condition:Broken,Good,Flawless",0|16|16
4963,"",0,Microsoft Zune HD 32GB,"","",1,"Condition:Broken,Good,Flawless",0|24|24
